file name,Case Number,Case Name,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Serve Date,Compansation,Pro Se Filer
0001-01.html,.,"The State vs. Doon and Dimond.,",.,.,.,Indictment for a nuisance,"closed, new triel denied (interpreted) ",.,.,.,.,.,.
0005-01.html,.,The State vs. James Worth.,.,.,.,Indictment for a nuisance,"closed, new triel denied (interpreted)",The State,.,James Worth,.,.,.
0006-01.html,.,"Welman et : ux: vs. Ruth Armour, Administrator",.,.,.,Bill for Discovery and Relief.,dismissed,Welman et : ux: ,.,"Ruth Armour, Administrator",.,.,.
0007-01.html,.,Executors Levi Sheftall vs. Administrators Joseph Clay.,.,.,.,.,over-ruled,Executors Levi Sheftall,.,Administrators Joseph Clay,.,.,.
0013-01.html,.,"Wakefield, Survâ€™r. vs. William Limbert.",.,"BEy BEStKIEW, Judge.",.,.,over-ruled,"Wakefield, Survâ€™r.",.,William Limbert.,.,.,.
0015-01.html,.,"Executrix Wiggins, vs. Administrator Norton.",.,"By BEB.B.IBN, Jiidge.",.,Debt on Judgment,over-ruled,"Executrix Wiggins,",.,Administrator Norton.,.,.,.
0017-01.html,.,"Oliver Sturges and Theodore A. Schoedde, Appellants, vs. Gardner Tufts.",Court of Ordinary,.,.,appeal,.,.,.,Gardner Tafts (respondent),.,.,.
0019-01.html,.,"John H. Morel vs. Walter Roe. P. H. Morel, vs. Same.",.,.,.,negligence,Let new trials be granted,.,.,.,.,.,.
0023-01.html,.,Aaron Forbes vs. Executor of P.H. Morel,.,.,.,forclosure,.,Aaron Forbes,.,P.H. Morel,.,.,.
0026-01.html,.,"Joseph Cumming, Plaintiff, in Certiorari, vs. The Mayor and Aldermen of Savannah.",.,"By BEKKIES, Judge.",.,.,suspended,"Joseph Cumming, Plaintiff, in Certiorari",.,The Mayor and Aldermen of Savannah.,.,.,.
0029-01.html,.,"Plantersâ€™ Bank of the State of Georgia vs. Griffin L. Lamkin, and others.",.,.,.,.,.,Plantersâ€™ Bank of the State of Georgia,.,"Griffin L. Lamkin, and others.",.,.,.
0036-01.html,.,"John H. Deubell vs. C. H. Fisher, Administrator.",.,.,.,.,.,John H. Deubell ,.,"C. H. Fisher, Administrator.",.,.,.
0038-01.html,.,"Simon Jackson vs. Joseph Soude, by P. P. Thomasson, his Guardian.",Mayorâ€™s Court of the city of Savannah,.,.,The whole examination in chief and in cross must be given.,.,Simon Jackson,,"Joseph Soude, by P. P. Thomasson, his Guardian.",.,.,.
0041-01.html,.,James Moss vs. John Wood.,.,.,.,debt ,postea must therefore be awarded to the plaintiff,.,.,.,.,.,.
0048-01.html,.,"The State vs. John C. Helvenston, et. al.",.,.,.,contempt,discharged,.,.,.,.,"ten dollars, five dollars",.
0051-01.html,.,John G. Wendell vs. Joseph George.,.,"By BERRIEN, Judge.",.,assumpsit,.,Geo. Glenâ€,.,Morrison & Nicoll.,.,.,.
0053-01.html,.,Richardson and Bolton vs. Joshua E. White.,Inferior Court,.,.,Judgment reversed,.,.,.,.,.,.,.
0056-01.html,.,G. F. and O. Palmes vs. William Stephensâ€”F. Densler vs. Same. Joshua E. White & Co. vs. William Stephens.,Court of Ordinary of Chatham County,.,.,Executions on Judgments,.,Habersham & D'Lyon,.,.,.,.,Stephens
0060-01.html,.,"William Rabun, Governor, for the use of Taylor, Tax Collector, vs. Fowler and others.",.,.,.,debt,overruled,Taylor,.,.,.,.,.
0070-01.html,.,"Peter F. Winn vs. Jesse Ham, and Morgan Mara.",.,.,.,forclosure,.,.,.,Jesse Ilam,.,.,.
0077-01.html,",",.,.,.,.,.,.,.,.,.,.,.,.
0080-01.html,.,The State vs. John Thompson.,.,.,.,burglary,,.,.,.,.,.,.
0084-01.html,.,The State vs. John Maloney.,.,.,.,burglary,new trial granted.,.,.,.,.,.,
0086-01.html,.,P. J. Valloton vs. John Gardner.,.,.,.,.,.,.,.,.,.,.,.
0090-01.html,.,Simons vs. Sheftall,.,.,.,ejectment.,over-ruled,.,.,.,.,.,.
0093-01.html,.,Matthew Albritton and another vs. Bird Executor of Bulloch.,.,.,.,.,dissolved,.,.,Dinah,.,.,.
0099-01.html,.,Tupperâ€”Applicant vs. Atwoodâ€”Respondent.,"Court of Ordinary of Chatham county,","By CHABMOS, Judge.",,appeal,.,.,.,.,.,.,
0103-01.html,.,Kane vs. Hills.,Superior Court.,.,.,Sci. Fa.,Judgment ordered.,.,.,.,.,.,.
0105-01.html,.,"Isaac Hendricks vs. Robert Lewis and William Brownjohn, Constable.",.,.,.,.,.,.,Isaac Hendricks,.,.,.,.
0109-01.html,.,,Court of Chancery,.,.,equity,.,.,.,.,.,.,.
0111-01.html,.,.,Inferior Court,.,.,.,discharged,.,.,.,.,.,.
0119-01.html,.,.,.,.,.,.,.,.,.,.,.,.,.
0120-01.html,,The State vs. Henry J. Howell.,.,.,.,.,.,.,.,.,.,.,.
0122-01.html,.,The State vs. Matthew Simpson.,.,.,.,.,,.,.,.,.,.,.
0125-01.html,.,"John Bolton, et. al. vs. Robert Flournoy.",Superior Courtsâ€ of Georgia,"By CHARLTON, Judge.",.,.,.,.,.,Robert Flournoy,.,.,.
0139-01.html,.,The State vs. P. L. Wicks.,.,.,.,homicide,.,.,.,.,.,.,.
0140-01.html,.,.,.,"By CHABMOIT, Judge.",.,.,.,.,.,.,.,.,.
0142-01.html,.,The State vs. Calvin and others.,.,.,.,.,.,.,.,.,.,.,.
0149-01.html,.,,.,.,.,.,.,.,.,.,.,.,.
0151-01.html,.,"The State vs. Russel Calvin, Samuel Jones & Henry J. Howell, otherwise called John Bishop.",.,.,.,Counterfeit Forged Notes,.,.,.,.,.,.,.
0178-01.html,.,William J. Spencer vs. Negroes Amy and Thomas.,.,.,.,.,.,.,.,.,.,.,.
0180-01.html,.,.,.,.,.,.,.,.,.,.,.,.,.
0184-01.html,.,"McGowan vs. Jones, et. al.",.,.,.,.,.,.,.,.,.,.,.
0187-01.html,.,"John Doe, ex. dem. Mary Lewden, et. al. vs. Richard Roe, i. e. John Gribbin, et. al.",.,.,.,ejectment,.,.,.,.,.,.,.
0188-01.html,.,"Nichols, Dobson and Hills, vs. Richard Dennis and another.",.,.,.,.,.,Morrison & Nicoll,.,Wayne,.,.,.
0190-01.html,.,"John Boog and Wm. F. Kelly, Exâ€™ors. of King, vs. John and Isaac Bayley.",.,.,.,.,.,.,.,.,.,.,.
0193-01.html,.,William Waters vs. Bank of the State of Georgia and Plantersâ€™ Bank.,.,.,.,.,.,.,.,.,.,.,.
0196-01.html,.,Rogers vs. Bullenâ€™s Administratrix.,Court of Kingâ€™s Bench,.,.,.,.,Abner Rogers,.,.,.,.,.
0206-01.html,.,Champneys vs. Wilson.,Superior Court of Liberty County,.,.,.,.,.,.,Josiah Wilson,.,.,.
0214-01.html,.,.,.,.,.,.,proceedings be stayed against the defendant.,.,.,.,.,.,.
0216-01.html,.,"Howard vs. Bank of Darien, et. al.",.,.,.,.,.,.,.,Hills <Sf Wilcox,.,.,.
0217-01.html,.,Agnes Griffin vs. Exâ€™ors. Griffin.,Court of Ordinary,.,.,.,.,.,.,.,.,.,.
0228-01.html,.,A. vs. B.,.,.,.,.,.,.,.,.,.,.,.
0235-01.html,.,"Frans. H. Welman vs. Polhill, Guerard and Polhill.",.,.,.,.,.,.,.,"Peter Guerard and. Thomas Polhill, James Polhill",.,.,.
0237-01.html,.,"Guerard & Polhill, vs. James Polhill.",.,.,.,foreclosure,.,.,.,.,.,.,.
0244-01.html,.,The State vs. John Abbot.,Superior Court in Georgia,.,.,.,.,.,.,.,.,.,.
0250-01.html,.,"The State vs. Mayor and Aldermen, City of Savannah.",Court House of Chatham County,.,.,.,.,.,.,.,.,.,.
0260-01.html,.,"Hartridge and others, complâ€™ts. vs. Rockwell and others, defâ€™ts.",.,"DAVIES, Judge",.,.,"to imprisonment in the Peni icntiary, for uotless than one, nor more than ten years.â€",.,.,.,.,.,.
0267-01.html,.,"James B. Norris, adm'or. of Jeremiah Pitman, complâ€™t. vs. Jesse Ham and W. A. Pitman, defâ€™ts.",.,.,.,.,.,.,.,W. A. Pitman,.,.,.
0272-01.html,.,The State vs. Elias Fort.,.,.,.,.,defendant discharged,.,.,.,.,.,.
0279-01.html,.,"Marine and Fire Insurance Bank and al., complâ€™ts. vs. Eleazer Early and M. Brown, defâ€™ts.",.,.,.,.,Demurrer overruled.,.,.,.,.,.,.
0281-01.html,.,"Patrick McDermott, complâ€™t. vs. James G. Blois, et. al., defâ€™ts.",.,.,.,.,.,.,.,.,.,.,.
0284-01.html,.,"John H. Morel and E. Belcher, complâ€™ts. vs. Patâ€™k Houstoun and al., defâ€™ts.",.,.,.,.,demurrer in this case must be allowed.,.,.,Houstovn,.,.,.
0291-01.html,.,"Footman, et. al., complâ€™ts. vs. The Exâ€™ors of John Pray, defâ€™ts.",.,"MW, Judge",.,.,demurrer is sustained,.,.,.,.,.,.
0298-01.html,.,Commissioners of Pilotage vs. John Low and others.,.,"MW, Judge",.,.,.,.,John Low,.,.,.,.
0302-01.html,.,John Low vs. Commissioners of Pilotage.,.,.,.,.,Judgment affirmed.,.,John Low,Low,.,.,.
0324-01.html,.,Robert Forsyth vs. Horatio Marbury.,.,"IAW, Judge",.,.,.,.,.,.,.,.,.
0342-01.html,.,"Ex dem. The Mayor and Aldermen of the City of Savannah vs. The President, Directors & Co. of the Steam Boat Company of Georgia.",.,.,.,.,.,.,.,.,.,.,.
0353-01.html,.,Watts and Joyner vs. Isaac Norton.,.,.,.,.,.,.,.,.,.,.,.
0355-01.html,.,.,.,"JLAW, Judge",.,.,.,.,.,"John I. Dews, the Sheriff of Chatham County,",.,.,.
0358-01.html,.,.,.,.,.,.,.,.,.,.,.,.,.
0368-01.html,.,Stephen C. Green vs. The Mayor and Aldermen of Savannah.,.,.,.,.,certiorari is therefore discharged,.,S. C. Green,.,.,.,.
0374-01.html,.,Charles Seton vs. James R. Hanham.,.,.,.,.,new trial be granted,.,.,.,.,.,.
0376-01.html,.,.,.,Judge Nott,.,.,"demurrer, therefore, is overruled.",.,.,.,.,.,.
0380-01.html,.,.,.,"JLAW, Judge",.,.,Injunction continued,.,.,.,.,.,.
0383-01.html,.,"Howland, Ward & Spring vs. John I. Dews, exâ€™or of W. C. Butler.",.,.,.,.,.,.,.,.,.,.,.
0391-01.html,.,"John Jewitt, et. al. vs. Joseph F. Mâ€™Gowen.",.,.,.,Pi.,.,.,.,.,.,.,.
0395-01.html,.,John S. Coombs vs. Isaac Low & Co.,.,.,.,.,.,.,.,.,.,.,.
0397-01.html,.,"The State, on the relation of the Mayor and Aldermen of the City of Savannah, vs. John I. Dews.",.,.,.,.,peremptory mandamus must issue,.,.,.,.,.,.
0443-01.html,.,The State vs. John I. Dews.,"Chatham, Superior Court",.,"Jan. 2, 1835",.,.,.,.,.,.,.,.
0444-01.html,.,"Samuel Dibble, plâ€™ff. vs. William Gaston, garnishee.",.,.,.,.,.,Dibble,.,Harden,.,.,.
0449-01.html,.,"The Governor vs. Wm. C. Daniel, exâ€™or. of Joseph V. Bevan.",.,.,.,debt and damages,execution hag issued illegally.,.,.,.,.,.,.
0452-01.html,.,Randolph B. Fell vs. Eliza G. Abbot.,.,.,.,.,new trial may be granted on terms,Randolph B. Fell and wife,.,.,.,.,.
0462-01.html,.,"John J. Maxwell, et. al. exâ€™ors of Ann Pray, and John J. Maxwell, et. al. Trustees of Rebecca Knoxâ€™s Children, vs. James H. Maxwell, et. al.",.,.,.,equity,.,.,.,.,.,.,.
0474-01.html,.,The State vs. Wm. Hogan.,.,.,.,.,Motion denied.,.,.,.,.,.,.
0479-01.html,.,John I. Dews vs. Young S. Pickard.,.,Hon. Charles S. Henry,.,.,Judgment affirmed.,.,.,.,.,.,.
0489-01.html,.,.,"October 26th, 1836",.,.,.,.,.,.,.,.,.,.
0497-01.html,.,"The Commâ€™rs of the Town of Brunswick, et. al. vs. Urbanus Dart and Wm. B. Davis.",.,.,.,equity,.,.,.,"Dart, Davis",.,.,.
0501-01.html,.,"Shad and Shad, admâ€™rs. Norton, vs. Wilson Fuller, defâ€™t.",.,.,.,.,.,.,.,.,.,.,.
0505-01.html,.,The State vs. George I. Henley.,.,.,.,.,motion is denied,.,.,.,.,.,.
0518-01.html,.,The State vs. James Allen.,.,.,.,.,.,.,.,.,.,.,.
0523-01.html,.,"Zara Powers, complâ€™t. vs. Thomas Heery, defâ€™t.",.,.,.,equity,.,.,.,Thomas Heery,.,.,.
0526-01.html,.,"Robert Habersham, admâ€™or D. Blake, complâ€™t. vs. Farish Carter, et. al. defâ€™ts.",.,"ROBEBT HE. OTAEMON, Judge.",.,equity,.,.,.,Benjamin F. Petton,.,.,.
0537-01.html,.,A. A. Smets vs. Thomas and Riley Weathersbee.,.,.,.,.,.,.,.,.,.,.,.
0542-01.html,.,"Henry Roser, next friend of negro woman Antoinette, and her two children, and negro man Jack, vs. Paul Marlow and Beal Edwards, Exâ€™ors of John Dugger, Jr., decâ€™d.",.,.,.,.,.,.,.,.,.,.,.
0551-01.html,.,Jesse Sanderlin vs. The Trustees of the Roman Catholic Church of Savannah.,.,.,.,.,.,.,.,.,.,.,.